**********************************
LOGGING TIME: 20161112_211038
CLIENT IP: 192.168.88.1
USERNAME: Ramola
OS: Windows 8.1
*********************Neutral database**********************************
MM, 29, 8, 12
MM, 34, 7, 12
MM, 38, 6, 12
MM, 41, 5, 12
MM, 43, 3, 12
MM, 19, 0, 293
MM, 19, 2, 14
MM, 18, 3, 12
MM, 18, 4, 12
MM, 18, 6, 12
MM, 18, 7, 25
MM, 18, 8, 12
MM, 18, 9, 36
MC, 1, 475
MM, 16, 9, 3292
MM, 12, 9, 12
MM, 0, 10, 12
MM, 32, 10, 12
MM, 13, 12, 13
MM, 30, 14, 12
MM, 19, 3, 61
MM, 7, 6, 12
MM, 2, 9, 12
MM, 0, 11, 12
MM, 43, 11, 246
MM, 38, 11, 12
MM, 32, 11, 12
MM, 28, 11, 12
MM, 25, 11, 12
MM, 23, 11, 12
MM, 22, 11, 12
MM, 20, 11, 13
MM, 19, 11, 12
MM, 17, 11, 12
MM, 14, 11, 12
MM, 9, 11, 12
MM, 4, 10, 13
MM, 43, 7, 61
MM, 42, 7, 24
MM, 41, 7, 12
MM, 40, 7, 13
MM, 39, 7, 12
MM, 37, 7, 24
MM, 35, 7, 24
MM, 34, 8, 12
MM, 32, 8, 12
MM, 31, 8, 12
MM, 30, 8, 13
MM, 29, 8, 12
MC, 1, 341
MM, 31, 8, 171
MM, 33, 8, 12
MM, 35, 8, 12
MM, 36, 7, 12
MM, 38, 6, 12
MM, 40, 6, 12
MM, 42, 5, 13
MM, 2, 0, 37
MC, 1, 975
MM, 7, 1, 183
MM, 2, 1, 12
MM, 43, 3, 62
MM, 42, 3, 12
MM, 40, 4, 24
MM, 38, 4, 12
MM, 36, 4, 12
MM, 34, 4, 12
MM, 33, 5, 12
MM, 32, 5, 12
MM, 32, 6, 13
MM, 32, 7, 24
MM, 31, 8, 12
MM, 30, 10, 25
MM, 29, 11, 12
MC, 1, 354
MM, 30, 12, 123
MM, 32, 18, 12
MM, 37, 25, 12
MM, 0, 5, 25
MM, 12, 14, 11
MM, 20, 18, 12
MM, 25, 21, 12
MM, 29, 23, 13
MM, 31, 24, 12
MM, 34, 27, 12
MM, 35, 28, 12
MM, 36, 29, 12
MM, 37, 29, 12
MM, 38, 29, 12
MM, 39, 29, 62
MM, 40, 29, 73
MM, 41, 30, 24
MM, 42, 31, 24
MM, 63, 0, 74
MM, 64, 1, 12
MM, 65, 3, 12
MM, 66, 4, 12
MM, 67, 5, 12
MM, 67, 6, 24
MM, 68, 7, 13
MM, 69, 8, 12
MM, 70, 8, 49
MC, 1, 390
MM, 73, 8, 133
MM, 78, 7, 13
MM, 85, 3, 12
MM, 93, 0, 12
MM, 42, 30, 36
MM, 0, 20, 37
MM, 4, 18, 13
MM, 8, 14, 12
MM, 13, 12, 12
MM, 18, 9, 13
MM, 23, 6, 12
MM, 29, 2, 12
MM, 2, 25, 86
MM, 3, 25, 12
MM, 4, 25, 12
MM, 4, 24, 13
